"item_sugerido","veces","variantes"
"TALONERA","1","TALONERA (1)"
"INSTALAR GPS","1","INSTALAR GPS (1)"
"REVISAR MORDAZA DELANTERA","1","REVISAR MORDAZA DELANTERA (1)"
"CAMBBIO DE ACEITE","1","CAMBBIO DE ACEITE (1)"
"GUAYAS ACELERADOR","1","GUAYAS ACELERADOR (1)"
"PINTURA PROTECTORES DE EXOSTO","1","PINTURA PROTECTORES DE EXOSTO (1)"
"PASTILLASTRASERAS","1","PASTILLASTRASERAS (1)"
"SENSORES DE AIRE","1","SENSORES DE AIRE (1)"
"CAMBIOD E ACEITE","1","CAMBIOD E ACEITE (1)"
"DISCOS DE FRENO DELANTEROS","1","DISCOS DE FRENO DELANTEROS (1)"
"PROTECTOR DE CLUTCH","1","PROTECTOR DE CLUTCH (1)"
"MANO DE OBRA BUJES","1","MANO DE OBRA BUJES (1)"
"MTOPREVENTIVO","1","MTOPREVENTIVO (1)"
"RELAY PRINCIPAL","1","RELAY PRINCIPAL (1)"
"CORREGIR CKP","1","CORREGIR CKP (1)"
"MANTENIMIENTO DE LLANTA","1","MTO DE LLANTA (1)"
"TENSOR DE CADENILLA MANUAL","1","TENSOR DE CADENILLA MANUAL (1)"
"PRENSA Y DISCOS","1","PRENSA Y DISCOS (1)"
"SOLDADURA MARIPOSA","1","SOLDADURA MARIPOSA (1)"
"SILLAS","1","SILLAS (1)"
"DESMONTE Y MONTAJE DE MOTOR","1","DESMONTE Y MONTAJE DE MOTOR (1)"
"ARREGLO ARBOLES DE LEVAS","1","ARREGLO ARBOLES DE LEVAS (1)"
"LAMINA TENSOR","1","LAMINA TENSOR (1)"
"3 PINES PLASTICOS","1","3 PINES PLASTICOS (1)"
"CUADRAR BOMBA DE FRENO","1","CUADRAR BOMBA DE FRENO (1)"
"REVISAR PEDAL DE CAMBIOS","1","REVISAR PEDAL DE CAMBIOS (1)"
"ARREGLO TAPA PRENSA","1","ARREGLO TAPA PRENSA (1)"
"TAPA NEGRA","1","TAPA NEGRA (1)"
"FUGA BOMBA DE AGUA","1","FUGA BOMBA DE AGUA (1)"
"1 4 DE ACEITE 20W50","1","1/4 DE ACEITE 20W50 (1)"
"PORTA FUSIBLE Y FUSIBLE","1","PORTA FUSIBLE Y FUSIBLE (1)"
"INSTALACION Y BASE CARPLAY","1","INSTALACION Y BASE CARPLAY (1)"
"CAMBIO BASE DE ESPEJO","1","CAMBIO BASE DE ESPEJO (1)"
"FUGA ENFRIADOR DE ACEITE","1","FUGA ENFRIADOR DE ACEITE (1)"
"ACEITE 10W30","1","ACEITE 10W30 (1)"
"INSTALACION FAROLA Y DIRECCIONAL","1","INSTALACION FAROLA Y DIRECCIONAL (1)"
"MANIGUETAS","1","MANIGUETAS (1)"
"CAMBIO DE BIELETAS","1","CAMBIO DE BIELETAS (1)"
"MANO DE OBRA MOTOTR","1","MANO DE OBRA MOTOTR (1)"
"ARREGLO CIGUENALCASQUETERIA Y BIELA","1","ARREGLO CIGUEÑALCASQUETERIA Y BIELA (1)"
"REMACHE DISCOS","1","REMACHE DISCOS (1)"
"PASTILLAS TRASERAS MAPS","1","PASTILLAS TRASERAS MAPS (1)"
"TERMINALES","1","TERMINALES (1)"
"CAMBIO EMPAQUES","1","CAMBIO EMPAQUES (1)"
"ACEITE MOTUL 7100 10W40","1","ACEITE MOTUL 7100 10W40 (1)"
"DEPARADORES","1","DEPARADORES (1)"
"POSAPIE DERECHO TRASERO","1","POSAPIE DERECHO TRASERO (1)"
"ORING TAPA DISIPADOR","1","ORING TAPA DISIPADOR (1)"
"MECANISMO PEDAL DE CAMBIOS","1","MECANISMO PEDAL DE CAMBIOS (1)"
"ARREGLO DIIRECCIONAL","1","ARREGLO DIIRECCIONAL (1)"
"PEDAL DE FRENO","1","PEDAL DE FRENO (1)"
"ARREGLO Y PINTURA DE TAPAS","1","ARREGLO Y PINTURA DE TAPAS (1)"
"LAMINAS STAY","1","LAMINAS STAY (1)"
"MANTENIMIENTO Y RETEN Y LIQUIDO DE CLUTCH","1","MTO Y RETEN Y LIQUIDO DE CLUTCH (1)"
"KIT DE BOMBA DE AGUA Y MO","1","KIT DE BOMBA DE AGUA Y MO (1)"
"ARANDELA DE GUARDABAROO","1","ARANDELA DE GUARDABAROO (1)"
"BARRA","1","BARRA (1)"
"MANO DE OBRA ABS","1","MANO DE OBRA ABS (1)"
"ARREGLO Y SOLDADURA DE GATO","1","ARREGLO Y SOLDADURA DE GATO (1)"
"SOPORTE PLACA","1","SOPORTE PLACA (1)"
"1 4 DE ACEITE 10W40","1","1/4 DE ACEITE 10W40 (1)"
"CUNAS DE DIRECCION","1","CUNAS DE DIRECCION (1)"
"CORRECCION LUCES","1","CORRECCION LUCES (1)"
"MANTENIMIENTO RETEN Y LIQUIDO DE CLUTCH","1","MTO RETEN Y LIQUIDO DE CLUTCH (1)"
"FILTRO DE IARE KYN","1","FILTRO DE IARE KYN (1)"
"MANTENIMIENTO DE CARDA","1","MTO DE CARDA (1)"
"PERA DE FRENO DEL","1","PERA DE FRENO DEL (1)"
"CAMBIO DIRECCIONALES","1","CAMBIO DIRECCIONALES (1)"
"ACEITE ENI 10W30","1","ACEITE ENI 10W30 (1)"
"MODOFICACION SUBCHASIS","1","MODOFICACION SUBCHASIS (1)"
"CORRECCION STOP","1","CORRECCION STOP (1)"
"GUAYA DE ACELERADOS","1","GUAYA DE ACELERADOS (1)"
"DESTRABAR CHAPAS","1","DESTRABAR CHAPAS (1)"
"BIELA Y CASQUETES","1","BIELA Y CASQUETES (1)"
"SOLDADURA DE TAPA","1","SOLDADURA DE TAPA (1)"
"CORRECCION PITO","1","CORRECCION PITO (1)"
"REVISION CONEXION CARPLAY","1","REVISION CONEXIÓN CARPLAY (1)"
"REYOQUES","1","REYOQUES (1)"
"ADONIZADO DE BARRAS","1","ADONIZADO DE BARRAS (1)"
"ADAPTACION DIRECCIONALES","1","ADAPTACION DIRECCIONALES (1)"
"AMORTIGUADORES","1","AMORTIGUADORES (1)"
"MECANISMOS DE CAMBIOS","1","MECANISMOS DE CAMBIOS (1)"
"ALUMBRA PLACA","1","ALUMBRA PLACA (1)"
"4 RODAMIENTOS","1","4 RODAMIENTOS (1)"
"FUELLE TIJERA","1","FUELLE TIJERA (1)"
"SOLDADURA RADIADOR","1","SOLDADURA RADIADOR (1)"
"ARREGLO MEDIDOR","1","ARREGLO MEDIDOR (1)"
"MANO DE OBRA DISCO DE CLUTCH","1","MANO DE OBRA DISCO DE CLUTCH (1)"
"RETEN CARDAN","1","RETEN CARDAN (1)"
"CORRECCION USPENSION TRASERA","1","CORRECCION USPENSION TRASERA (1)"
"SOPORTE CAR PLAY","1","SOPORTE CAR PLAY (1)"
"HELICOIL PARRILLA","1","HELICOIL PARRILLA (1)"
"INSTALAR DIRECCIONALES","1","INSTALAR DIRECCIONALES (1)"
"2 HELICOIL PARRILLA Y MORDAZA","1","2 HELICOIL PARRILLA Y MORDAZA (1)"
"CORRECCION FUGA SENSOR","1","CORRECCION FUGA SENSOR (1)"
"TAPIZADO SILLAAS","1","TAPIZADO SILLAAS (1)"
"LIBERADOR DE POTENCIA","1","LIBERADOR DE POTENCIA (1)"
"CAMBIO DE ACEITE CON FILTRO","1","CAMBIO DE ACEITE CON FILTRO (1)"
"MANO DE OBRA TRAPECIO","1","MANO DE OBRA TRAPECIO (1)"
"BUJES Y CANASTILLAS TIJERA","1","BUJES Y CANASTILLAS TIJERA (1)"
"TRAPECIO Y CANASTILLAS","1","TRAPECIO Y CANASTILLAS (1)"
"TRANSPORTE SOLDADURA","1","TRANSPORTE SOLDADURA (1)"
"DUCTO LUBRICACION","1","DUCTO LUBRICACION (1)"
"PULIDA WINSHIELD","1","PULIDA WINSHIELD (1)"
"BUJE PRINCIPAL","1","BUJE PRINCIPAL (1)"
"ADECUACION DE LUCES","1","ADECUACION DE LUCES (1)"
"DESPINCHE LLANTA TRASERA","1","DESPINCHE LLANTA TRASERA (1)"
"MANO DE OBRA VALVULAS","1","MANO DE OBRA VALVULAS (1)"
"EXTRAXXION DE TORNILLOS","1","EXTRAXXION DE TORNILLOS (1)"
"MANO DE OBRA TOTAL","1","MANO DE OBRA TOTAL: (1)"
"CAMBIO FILTRO","1","CAMBIO FILTRO (1)"
"ARREGLO Y PINTURA DEFENSA","1","ARREGLO Y PINTURA DEFENSA (1)"
"MANO DE OBRA BOMBA DE CLUTCH","1","MANO DE OBRA BOMBA DE CLUTCH (1)"
"RETOQUE DE PINTURA","1","RETOQUE DE PINTURA (1)"
"CORREGIR TENSOR DE CADENA","1","CORREGIR TENSOR DE CADENA (1)"
"SOLDADURA CONTACTO","1","SOLDADURA CONTACTO (1)"
"AREEGLO CALEFACTOR","1","AREEGLO CALEFACTOR (1)"
"1 CAUCHO POSAPIE","1","1 CAUCHO POSAPIE (1)"
"CORREGIR GOLPE","1","CORREGIR GOLPE (1)"
"SENSOR CKP","1","SENSOR CKP (1)"
"SOLDADURA MULETA","1","SOLDADURA MULETA (1)"
"RESORTE PERA TRASERA","1","RESORTE PERA TRASERA (1)"
"SWITCH","1","SWITCH (1)"
"SOPORTE MOTOR","1","SOPORTE MOTOR (1)"
"3 RODAMIENTOS LLANTA TRAS","1","3 RODAMIENTOS LLANTA TRAS (1)"
"CAMBIO DE ACEIE","1","CAMBIO DE ACEIE (1)"
"MANTENIMIENTO DE BARRAS Y ACEITE","1","MTO DE BARRAS Y ACEITE (1)"
"CENTRADA DE RIN TRASERO","1","CENTRADA DE RIN TRASERO (1)"
"4 RADIOS TRASEROS","1","4 RADIOS TRASEROS (1)"
"TAPA DE DIRECCIONAL","1","TAPA DE DIRECCIONAL (1)"
"TERMOSTATO","1","TERMOSTATO (1)"
"TAPA RADIAOR","1","TAPA RADIAOR (1)"
"MANO DE OBRA BORDES","1","MANO DE OBRA BORDES (1)"
"TAPA BARRA","1","TAPA BARRA (1)"
"BOMBILLO DE FAROLA","1","BOMBILLO DE FAROLA (1)"
"INSTALACION BOMBILLOS","1","INSTALACION BOMBILLOS (1)"
"ESPARRAGO Y MANO DE OBRA","1","ESPARRAGO Y MANO DE OBRA (1)"
"ORING MEDIDOR DE ACEITE","1","ORING MEDIDOR DE ACEITE (1)"
"MRO DE BARRAS","1","MRO DE BARRAS (1)"
"DISCO DE FRENO TRAS","1","DISCO DE FRENO TRAS (1)"
"PARCHAR LLANTA TRASERA","1","PARCHAR LLANTA TRASERA (1)"
"ARREGLO TAPA BATERIA","1","ARREGLO TAPA BATERIA (1)"
"ARREGLO CAJA DE HERRAMIENTA","1","ARREGLO CAJA DE HERRAMIENTA (1)"
"TAPA FAROLA","1","TAPA FAROLA (1)"
"INSTALACION SENSORES DE PRESION","1","INSTALACION SENSORES DE PRESION (1)"
"INSTALACION TERCER STOP","1","INSTALACION TERCER STOP (1)"
"ARREGLO GOLPE DE RIN","1","ARREGLO GOLPE DE RIN (1)"
"4 VALVULAS","1","4 VALVULAS (1)"
"INSTALACION LLANTA TRASERA","1","INSTALACION LLANTA TRASERA (1)"
"CAMBIO COCUYO","1","CAMBIO COCUYO (1)"
"CAMBIO SENSOR ABS DELANTER","1","CAMBIO SENSOR ABS DELANTER (1)"
"PASADOR FRENO","1","PASADOR FRENO (1)"
"CAMBIO INTERRUPTOR EXPLORADORAS","1","CAMBIO INTERRUPTOR EXPLORADORAS (1)"
"BARRAS TELESCOPICAS","1","BARRAS TELESCOPICAS (1)"
"TENSION LUBRICACION DE CADENA","1","TENSION LUBRICACION DE CADENA (1)"
"CAMBIO SELLO MECANICO","1","CAMBIO SELLO MECANICO (1)"
"MODISICACION DE EXOSTO","1","MODISICACION DE EXOSTO (1)"
"EMPAQUE RESERVORIO DE CLUTCH","1","EMPAQUE RESERVORIO DE CLUTCH (1)"
"ARREGLO BASE MANUBRIO","1","ARREGLO BASE MANUBRIO (1)"
"ARREGLO 2 RINES","1","ARREGLO 2 RINES (1)"
"REVISAR FUGA RADIADOR","1","REVISAR FUGA RADIADOR (1)"
"MANTENIMIENTO MORDAZA DELANTERA","1","MTO MORDAZA DELANTERA (1)"
"INSTALACION CALEFACTORES","1","INSTALACION CALEFACTORES (1)"
"CABLEADO","1","CABLEADO (1)"
"FDEPURACION ABS","1","FDEPURACION ABS (1)"
"LUCES LED","1","LUCES LED (1)"
"PINTURA DEFENSA Y PORAMALETAS","1","PINTURA DEFENSA Y PORAMALETAS (1)"
"CAMBIO EXPLORADORA","1","CAMBIO EXPLORADORA (1)"
"ARREGLO STOP","1","ARREGLO STOP (1)"
"RELAY ENCENDIDO","1","RELAY ENCENDIDO (1)"
"1 BOMBILLO DIRECCIONAL","1","1 BOMBILLO DIRECCIONAL (1)"
"CAMBIO DE ACEITE 10W 40","1","CAMBIO DE ACEITE 10W 40 (1)"
"CAMBIO DE PESAS","1","CAMBIO DE PESAS (1)"
"MANTENIMIENTO DE BARRA DEL","1","MANTENIMIENTO DE BARRA DEL (1)"
"CAUCHOS SOPORTE","1","CAUCHOS SOPORTE (1)"
"INSTALACION CAJA DE HERRAMIENTAS","1","INSTALACION CAJA DE HERRAMIENTAS (1)"
"INSTALACION SOPORTE CEL","1","INSTALACION SOPORTE CEL (1)"
"SERVIVIO DE SCANNER","1","SERVIVIO DE SCANNER (1)"
"CANDADO DE CADENA","1","CANDADO DE CADENA (1)"
"FUGA Y MANTENIMIENTO DE CARDAN","1","FUGA Y MTO DE CARDAN (1)"
"MANTENIMIENTO BOBINAS BUJIAS Y CUERPO ACELERACI","1","MTO BOBINAS BUJIAS Y CUERPO ACELERACI (1)"
"DIRECCIONAL NUEVA","1","DIRECCIONAL NUEVA (1)"
"TAPAS DE CHASIS","1","TAPAS DE CHASIS (1)"
"BASE POSAPIE DERECHO","1","BASE POSAPIE DERECHO (1)"
"DEPURACION DE LIQUIDO DE FRENOS","1","DEPURACION DE LIQUIDO DE FRENOS (1)"
"INSTALACION MALETERO","1","INSTALACION MALETERO (1)"
"PINTURA BABERO","1","PINTURA BABERO (1)"
"CAMBIO Y ORDEN DE CABLES","1","CAMBIO Y ORDEN DE CABLES (1)"
"LLANTA PIRELLI TRAS","1","LLANTA PIRELLI TRAS (1)"
"MARCAR","1","MARCAR (1)"
"PROTECTOR FAROLA","1","PROTECTOR FAROLA (1)"
"MANTENIMIENTO CADENA","1","MTO CADENA (1)"
"PINON DEL","1","PIÑON DEL (1)"
"POLICHAR VISOR","1","POLICHAR VISOR (1)"
"PARRILLA GIVI","1","PARRILLA GIVI (1)"
"MANTENIMIENTO Y RETEN DE DE CLUTCH","1","MTO Y RETEN DE DE CLUTCH (1)"
"1 1 4 DE ACEITE","1","1 1/4 DE ACEITE (1)"
"FUGA","1","FUGA (1)"
"REVISION DE ENCENDIDO","1","REVISION DE ENCENDIDO (1)"
"REVISAR FUGA EN EL FILTRO","1","REVISAR FUGA EN EL FILTRO (1)"
"MANO DE OBRA REPUESTOS","1","MANO DE OBRA REPUESTOS (1)"
"TORNILLOS BASE MOTOR","1","TORNILLOS BASE MOTOR (1)"
"RENDE EL START","1","RENDE EL START (1)"
"BOMBILLOS DE FAROLA","1","BOMBILLOS DE FAROLA (1)"
"REVISAR SUSPENSIOON","1","REVISAR SUSPENSIOON (1)"
"AJUSTE DE CAMBIOS","1","AJUSTE DE CAMBIOS (1)"
"CAMBIO DE ACUNAS","1","CAMBIO DE ACUNAS (1)"
"TAPA CARENAJE","1","TAPA CARENAJE (1)"
"TPA LATERAL","1","TPA LATERAL (1)"
"ARREGLO PROTECTOR DE EXOSTO","1","ARREGLO PROTECTOR DE EXOSTO (1)"
"DIRECCIIONALES TRASERAS","1","DIRECCIIONALES TRASERAS (1)"
"ELEVADORES","1","ELEVADORES (1)"
"MANO DE OIBRA","1","MANO DE OIBRA (1)"
"MANTENIMIENTO TRAPECIO Y TIJERA","1","MTO TRAPECIO Y TIJERA (1)"
"MANTENIMIENTO FILTRO DE AIRE KYN","1","MTO FILTRO DE AIRE KYN (1)"
"CANASTILLAS","1","CANASTILLAS (1)"
"BASE","1","BASE (1)"
"BOMBA DE GASILINA","1","BOMBA DE GASILINA (1)"
"MANTENIMIENTO Y ARREGLO CUERPO DE ACELERACION","1","MTO Y ARREGLO CUERPO DE ACELERACION (1)"
"INSTALACION DE GUARDABARRO","1","INSTALACION DE GUARDABARRO (1)"
"GARANTIA LLANTA","1","GARANTIA LLANTA (1)"
"DIRECCIONAL TRASERA","1","DIRECCIONAL TRASERA (1)"
"REVISAR ACEITE","1","REVISAR ACEITE (1)"
"EXTRACCION","1","EXTRACCION (1)"
"CAUCHOS Y TORNILLOS DE VISOR","1","CAUCHOS Y TORNILLOS DE VISOR (1)"
"PANEL","1","PANEL (1)"
"BASE EMBLEMA","1","BASE EMBLEMA (1)"
"ARREGLO EJE","1","ARREGLO EJE (1)"
"ACEITE MOTOR 20W50","1","ACEITE MOTOR 20W50 (1)"
"SELLO MECANICP","1","SELLO MECANICP (1)"
"DISCOS Y SEPARASORES DE CLUTCH","1","DISCOS Y SEPARASORES DE CLUTCH (1)"
"BARRAS ESTABILIZADORAS","1","BARRAS ESTABILIZADORAS (1)"
"PINTURA PANELES","1","PINTURA PANELES (1)"
"PINTURA GUARDABARRO","1","PINTURA GUARDABARRO (1)"
"MANTENIMIENTO KIT CUERPO DE ACELERACION","1","MTO KIT CUERPO DE ACELERACION (1)"
"MECANISMO","1","MECANISMO (1)"
"FUGA ARREGLO","1","FUGA ARREGLO (1)"
"MANTENIMIENTO MANDO DERECHO","1","MTO MANDO DERECHO (1)"
"MANTENIMIENTO CLUTCH BOBINAS Y MANO DE OBRA","1","MTO CLUTCH BOBINAS Y MANO DE OBRA (1)"
"ESPUMAS GRIPS","1","ESPUMAS GRIPS (1)"
"COLOCAR MANDO","1","COLOCAR MANDO (1)"
"CROMO DE BARRA","1","CROMO DE BARRA (1)"
"AJUSTE DE BARRAS","1","AJUSTE DE BARRAS (1)"
"TAPITA ESPEJO","1","TAPITA ESPEJO (1)"
"MANTENIMIENTO DE BRRA","1","MTO DE BRRA (1)"
"RETIRAR PROTECTOR DE EXOSTO","1","RETIRAR PROTECTOR DE EXOSTO (1)"
"CAMBIO DE ACEITE 15W50 REPSOL","1","CAMBIO DE ACEITE 15W50 REPSOL (1)"
"CAMBIAR LLANTA","1","CAMBIAR LLANTA (1)"
"RODAMIENTOS DE TIJERA","1","RODAMIENTOS DE TIJERA (1)"
"ENRADIADO RIN","1","ENRADIADO RIN (1)"
"SALDO RIN","1","SALDO RIN (1)"
"ARREGLO STAY Y FAROLA","1","ARREGLO STAY Y FAROLA (1)"
"PINTURA DE MANUBRIO","1","PINTURA DE MANUBRIO (1)"
"ABONO TAPA Y MEDIDOR","1","ABONO TAPA Y MEDIDOR (1)"
"NIVELAR DE ACEITE","1","NIVELAR DE ACEITE (1)"
"PASTILLAS DELANTEAS","1","PASTILLAS DELANTEAS (1)"
"MANTENIMITO DE BARRAS","1","MANTENIMITO DE BARRAS (1)"
"RODAMIENTOS PORTAPLATO","1","RODAMIENTOS PORTAPLATO (1)"
"ARREGLO DESLIZADOR DE CADENA","1","ARREGLO DESLIZADOR DE CADENA (1)"
"ACEITE HIDDRAULICO","1","ACEITE HIDDRAULICO (1)"
"ARREGLO ELECTRICO","1","ARREGLO ELECTRICO (1)"
"RODAMIENTO DEL","1","RODAMIENTO DEL (1)"
"MANTENIMIENTO MORDAZA TRASERA","1","MTO MORDAZA TRASERA (1)"
"MANTENIMIENTO FILTRO DE AIRE CUERPO Y BUJIAS","1","MTO FILTRO DE AIRE CUERPO Y BUJIAS (1)"
"ARREGLO DE CORTO","1","ARREGLO DE CORTO (1)"
"ARREGLO ROSCAS HELICOIL","1","ARREGLO ROSCAS HELICOIL (1)"
"GUARDAPOLVOS BARRA","1","GUARDAPOLVOS BARRA (1)"
"MEDIAS BARRAS","1","MEDIAS BARRAS (1)"
"REVISION SISTEMA ELECTRICO","1","REVISION SISTEMA ELECTRICO (1)"
"CORONA DE ENCENDIDO","1","CORONA DE ENCENDIDO (1)"
"INSTALACION DE GUAYA","1","INSTALACION DE GUAYA (1)"
"ARREGLO Y PINTURA DE EXOSTO","1","ARREGLO Y PINTURA DE EXOSTO (1)"
"BOBINA CORONA","1","BOBINA/CORONA (1)"
"BARRA IZQUIERDA","1","BARRA IZQUIERDA (1)"
"TORNILLO PESAS","1","TORNILLO PESAS (1)"
"BUJE PESA","1","BUJE PESA (1)"
"ARREGLO CABLE","1","ARREGLO CABLE (1)"
"CANASTINNA VENDIX","1","CANASTINNA VENDIX (1)"
"ARREGLO PINON VENDIX","1","ARREGLO PIÑON VENDIX (1)"
"BOTON MANTENIMIENTO VENTILADOR","1","BOTON MTO VENTILADOR (1)"
"TAMBOR DE CLUTCH","1","TAMBOR DE CLUTCH (1)"
"CORTAR CADENA","1","CORTAR CADENA (1)"
"BUJES Y TORNILLOS DE VISOR","1","BUJES Y TORNILLOS DE VISOR (1)"
"ARREGLO SOLDADURA DE PARRILLA","1","ARREGLO SOLDADURA DE PARRILLA (1)"
"BUJES DE MENSULA","1","BUJES DE MENSULA (1)"
"DESCUENTO EXPLORADOREAS","1","DESCUENTO EXPLORADOREAS (1)"
"BUJES Y TORNILLO SOPORTE EXPLORADORAS","1","BUJES Y TORNILLO SOPORTE EXPLORADORAS (1)"
"CAMBIO DE RODAMIENTO","1","CAMBIO DE RODAMIENTO (1)"
"EXTRACCION Y MANO DE OBRA","1","EXTRACCION Y MANO DE OBRA (1)"
"2 TORNILLOS","1","2 TORNILLOS (1)"
"ARREGLO PROTECTOR DE TAPON","1","ARREGLO PROTECTOR DE TAPON (1)"
"MANTENIMIENTO BARRA IZQ Y ACEITE","1","MTO BARRA IZQ Y ACEITE (1)"
"LUZ","1","LUZ (1)"
"MANTENIMIENTO MOTOR DE ARRANTE","1","MTO MOTOR DE ARRANTE (1)"
"ACOMODAR MANUBRIO","1","ACOMODAR MANUBRIO (1)"
"TORNILLO DE FRENO","1","TORNILLO DE FRENO (1)"
"EMPAQUE VOLANTE","1","EMPAQUE VOLANTE (1)"
"SOLDADURA PARRILLO","1","SOLDADURA PARRILLO (1)"
"REVISAR DISCO TRASERO","1","REVISAR DISCO TRASERO (1)"
"CORRECCION FUGA CARDAN","1","CORRECCION FUGA CARDAN (1)"
"AJUSTE DE DISCO","1","AJUSTE DE DISCO (1)"
"1 1 4 MOTUL 7100","1","1 1/4 MOTUL 7100 (1)"
"REINSTALACION DE SIRENA","1","REINSTALACION DE SIRENA (1)"
"LUZ ALUMBRA PLACA","1","LUZ ALUMBRA PLACA (1)"
"CAUCHO TAPA CLUTCH","1","CAUCHO TAPA CLUTCH (1)"
"MENO DE OBRA PRENSA","1","MENO DE OBRA PRENSA (1)"
"REMACHE DISCO","1","REMACHE DISCO (1)"
"REVISAR SENSOR DE GASOLINA","1","REVISAR SENSOR DE GASOLINA (1)"
"EXTRACCION TORNILLO ESPEJO","1","EXTRACCION TORNILLO ESPEJO (1)"
"CAMBIO DE HAND SAVERS","1","CAMBIO DE HAND SAVERS (1)"
"CAPUCHON Y CAUCHO","1","CAPUCHON Y CAUCHO (1)"
"AJUSTE CARGADOR","1","AJUSTE CARGADOR (1)"
"RETIRAR SLIDERS Y DEFENSAS","1","RETIRAR SLIDERS Y DEFENSAS (1)"
"PINTURA MANIJA","1","PINTURA MANIJA (1)"
"ARREGLO MANIGUETA DE CLUTCH","1","ARREGLO MANIGUETA DE CLUTCH (1)"
"CORNETAS","1","CORNETAS (1)"
"BARRITA","1","BARRITA (1)"
"CAMBIO DE CANASTILLAS EJE DE LEVAS","1","CAMBIO DE CANASTILLAS EJE DE LEVAS (1)"
"DISCO DE FRENO TRASERO","1","DISCO DE FRENO TRASERO (1)"
"LLANTAS Y MANO DE OBRA","1","LLANTAS Y MANO DE OBRA (1)"
"INSTALACION DISCO","1","INSTALACION DISCO (1)"
"REISAR RIN","1","REISAR RIN (1)"
"BOMBA DE GASOLINA","1","BOMBA DE GASOLINA (1)"
"MANTENIMIENTO DE FRENOS DEL","1","MTO DE FRENOS DEL (1)"
"AJUSTE DE CAJON","1","AJUSTE DE CAJON (1)"
"MANTENIMIENTO Y TENSION DE CADENA","1","MTO Y TENSION DE CADENA (1)"
"3 RODAMIENTOS","1","3 RODAMIENTOS (1)"
"MANO DE OBRA INSTALACION REPUESTOS","1","MANO DE OBRA INSTALACION REPUESTOS (1)"
"REVISION PRENSA DE CLUTCH","1","REVISION PRENSA DE CLUTCH (1)"
"MANO DE OBRA PASADORES MOTOR","1","MANO DE OBRA PASADORES MOTOR (1)"
"DESPINCHE LLANTA","1","DESPINCHE LLANTA (1)"
"DESPINCHAR LLANTA","1","DESPINCHAR LLANTA (1)"
"CAMBIO DE","1","CAMBIO DE (1)"
"REBOBINADO CORONA","1","REBOBINADO CORONA (1)"
"ARREGLOSISTEMA ELECTRICO","1","ARREGLOSISTEMA ELECTRICO (1)"
"MANTENIMIENTO GEENRAL","1","MTO GEENRAL (1)"
"CAMBIO DE GUARDAS","1","CAMBIO DE GUARDAS (1)"
"VARILLA CUERPO DE ACELERACION","1","VARILLA CUERPO DE ACELERACION (1)"
"CAMBIO DE AXOSTO","1","CAMBIO DE AXOSTO (1)"
"CAMBIO DE RODAMIENTOS DELANTEROS","1","CAMBIO DE RODAMIENTOS DELANTEROS (1)"
"ACEITE CARDAN","1","ACEITE CARDAN (1)"
"PERILLA AMORTIGUADOR","1","PERILLA AMORTIGUADOR (1)"
"LUBRICAR ACELERADOR","1","LUBRICAR ACELERADOR (1)"
"LAINA KIT DE ARRASTRE","1","LAINA KIT DE ARRASTRE (1)"
"REVISAR DISCOS DE CLUTCH","1","REVISAR DISCOS DE CLUTCH (1)"
"REVISAR GUAYA DE CLUTCH","1","REVISAR GUAYA DE CLUTCH (1)"
"REVISAR CHECK ENGINE","1","REVISAR CHECK ENGINE (1)"
"LUBRICAION DE GUAYAS","1","LUBRICAION DE GUAYAS (1)"
"MANTENIMEINTO PREVENTIVO","1","MANTENIMEINTO PREVENTIVO (1)"
"INSTALACION DE PESAS","1","INSTALACION DE PESAS (1)"
"SENSOR DE ABS","1","SENSOR DE ABS (1)"
"TORNILLOS DE MORDAZA","1","TORNILLOS DE MORDAZA (1)"
"BALANCIO DE LLANTAS","1","BALANCIO DE LLANTAS (1)"
"CAUCHO DE GATO","1","CAUCHO DE GATO (1)"
"REVISION FASE NEGATIVA","1","REVISION FASE NEGATIVA (1)"
"1 RADIO","1","1 RADIO (1)"
"MANO DE OBRA RETEN EJE DE CAMBIOS","1","MANO DE OBRA RETEN EJE DE CAMBIOS (1)"
"400 DE ACEITE","1","400 DE ACEITE (1)"
"AJUSTE DE TAPAS","1","AJUSTE DE TAPAS (1)"
"ENDEREZAR BARRA","1","ENDEREZAR BARRA (1)"
"ARREGLO PRENSA CLUTCH","1","ARREGLO PRENSA CLUTCH (1)"
"ARREGLO EXTENSORES DE MANUBRIO","1","ARREGLO EXTENSORES DE MANUBRIO (1)"
"BALANCIN","1","BALANCIN (1)"
"INSTALACION DE PITOS","1","INSTALACION DE PITOS (1)"
"MANTENIMIENTO KIT DE RRASTRE","1","MANTENIMIENTO KIT DE RRASTRE (1)"
"REVISION DE PALANCA DE CAMBIOS","1","REVISION DE PALANCA DE CAMBIOS (1)"
"PINTURA RESORTE DE AMORTIGUADOR","1","PINTURA RESORTE DE AMORTIGUADOR (1)"
"REVISAR INSTALACION DE EXPLORADORAS","1","REVISAR INSTALACION DE EXPLORADORAS (1)"
"ARREGLAR CALEFACTOR","1","ARREGLAR CALEFACTOR (1)"
"AJUSTE SOPORTE DE BARRAS","1","AJUSTE SOPORTE DE BARRAS (1)"
"ARREGLAR ROSCA MORDAZA","1","ARREGLAR ROSCA MORDAZA (1)"
